Feature,Coefficient,Absolute
categorical__DeviceInfo_SAMSUNG-SM-G891A Build/NRD90M,65.96272732647907,65.96272732647907
numeric__V204,-65.81117454489215,65.81117454489215
categorical__DeviceInfo_HUAWEI,-65.49062171227479,65.49062171227479
categorical__DeviceInfo_SM-G900H Build/MMB29K,-64.62073129485354,64.62073129485354
categorical__DeviceInfo_BAC-L03 Build/HUAWEIBAC-L03,-64.28141064357523,64.28141064357523
categorical__R_emaildomain_ptd.net,-63.79049387909668,63.79049387909668
categorical__DeviceInfo_LGL33L/V100,63.695598988405116,63.695598988405116
categorical__R_emaildomain_netzero.net,-63.59085160569431,63.59085160569431
categorical__DeviceInfo_VK810,-63.55766764970712,63.55766764970712
categorical__DeviceInfo_GT-P5210 Build/KOT49H,63.030886773097386,63.030886773097386
categorical__DeviceInfo_SAMSUNG SM-G935T Build/NRD90M,62.897868852557664,62.897868852557664
categorical__DeviceInfo_5011A Build/NRD90M,62.847834521264396,62.847834521264396
categorical__id_33_2560x1440,-62.72971966581707,62.72971966581707
numeric__V236,62.578648718203134,62.578648718203134
categorical__DeviceInfo_E5506 Build/29.1.A.0.101,62.38217837597718,62.38217837597718
categorical__card4_discover,62.18689547019287,62.18689547019287
categorical__DeviceInfo_SM-T520,62.1056711522637,62.1056711522637
categorical__P_emaildomain_cableone.net,61.98695692393842,61.98695692393842
categorical__DeviceInfo_SM-J200M Build/LMY47X,61.574891864219424,61.574891864219424
categorical__DeviceInfo_CHC-U03 Build/HuaweiCHC-U03,61.249184452137534,61.249184452137534
numeric__V72,-61.09426292094589,61.09426292094589
categorical__DeviceInfo_QMV7A,60.9256965823465,60.9256965823465
categorical__DeviceInfo_LT22i Build/6.2.A.1.100,-60.75147739450251,60.75147739450251
categorical__DeviceInfo_SM-G935F Build/MMB29K,60.08367286302879,60.08367286302879
categorical__DeviceInfo_BV6000,59.76497349589044,59.76497349589044
categorical__DeviceInfo_SM-N910T Build/MMB29M,59.3222215056142,59.3222215056142
categorical__DeviceInfo_LGLS676 Build/MXB48T,59.20582121145752,59.20582121145752
categorical__id_31_chrome 55.0,59.104233481528595,59.104233481528595
categorical__P_emaildomain_comcast.net,58.95591986717739,58.95591986717739
numeric__V95,-58.585869063756846,58.585869063756846
numeric__V276,-58.42669080951973,58.42669080951973
categorical__DeviceInfo_LG-M700 Build/NMF26X,57.95855993137802,57.95855993137802
categorical__DeviceInfo_LG-LS993 Build/NRD90U,-57.52271599157361,57.52271599157361
categorical__DeviceInfo_Redmi 4A Build/MMB29M,-57.506057199471186,57.506057199471186
categorical__DeviceInfo_rv:11.0,57.39094617586637,57.39094617586637
categorical__id_31_chrome 63.0 for ios,57.330830257924106,57.330830257924106
categorical__P_emaildomain_sbcglobal.net,57.0136907361261,57.0136907361261
categorical__id_30_Mac OS X 10_12_1,56.716725642927784,56.716725642927784
numeric__V97,-56.5420677435779,56.5420677435779
categorical__DeviceInfo_XT1003,56.48346832999053,56.48346832999053
categorical__DeviceInfo_Aquaris,55.735804090085054,55.735804090085054
categorical__DeviceInfo_Windows NT 6.2,55.6966108802777,55.6966108802777
categorical__DeviceInfo_Moto E (4) Build/NMA26.42-69,55.4355671481212,55.4355671481212
categorical__P_emaildomain_bellsouth.net,55.410798750129935,55.410798750129935
categorical__DeviceInfo_SM-A310M Build/LMY47X,-55.23077500156443,55.23077500156443
categorical__DeviceInfo_VS500,-55.229956711158046,55.229956711158046
categorical__id_31_samsung browser 5.4,-55.22436732876165,55.22436732876165
categorical__DeviceInfo_QTAQZ3 Build/LMY47V,55.16938230303036,55.16938230303036
numeric__V71,55.04546301395489,55.04546301395489
categorical__DeviceInfo_es-mx,-54.9263787359586,54.9263787359586
numeric__V215,-54.43407890349239,54.43407890349239
categorical__DeviceInfo_SAMSUNG SM-G955U Build/NRD90M,54.42000900048911,54.42000900048911
categorical__R_emaildomain_cfl.rr.com,53.984747629588675,53.984747629588675
categorical__DeviceInfo_SM-G928V Build/NRD90M,53.92002544726107,53.92002544726107
categorical__P_emaildomain_gmail,53.85093289824421,53.85093289824421
categorical__id_30_Android 4.4.2,-53.70394173501205,53.70394173501205
categorical__DeviceInfo_Fractal,53.60497510422886,53.60497510422886
numeric__V58,53.526044640360965,53.526044640360965
categorical__DeviceInfo_SAMSUNG SM-G530H Build/LRX22G,53.47463879878954,53.47463879878954
categorical__DeviceInfo_SM-G930V Build/MMB29M,-52.938775916253626,52.938775916253626
categorical__DeviceInfo_SM-G925P Build/NRD90M,52.61219059228838,52.61219059228838
categorical__DeviceInfo_rv:45.0,-52.60158657385204,52.60158657385204
categorical__DeviceInfo_SM-T710 Build/NRD90M,52.403615977412066,52.403615977412066
categorical__id_33_1280x600,-52.38492200639673,52.38492200639673
categorical__DeviceInfo_Nexus 6P Build/OPR5.170623.011,52.29153042244789,52.29153042244789
numeric__V101,52.26849894622508,52.26849894622508
categorical__DeviceInfo_SM-G925I Build/LMY47X,51.87278128155949,51.87278128155949
categorical__id_33_1344x756,-51.79645869637381,51.79645869637381
categorical__DeviceInfo_LG-P714,51.66822621718271,51.66822621718271
categorical__id_30_Mac OS X 10.12,51.55278879077848,51.55278879077848
categorical__id_31_android webview 4.0,51.29400713652908,51.29400713652908
categorical__R_emaildomain_ymail.com,-51.28179501364146,51.28179501364146
categorical__DeviceInfo_SM-G950U1 Build/NRD90M,-51.255457105399486,51.255457105399486
numeric__C12,-51.14594367644118,51.14594367644118
categorical__DeviceInfo_SAMSUNG SM-G950U Build/NRD90M,50.98087969543107,50.98087969543107
categorical__P_emaildomain_mail.com,50.809362965814664,50.809362965814664
categorical__DeviceInfo_SAMSUNG-SM-J727A Build/NRD90M,50.78883545989284,50.78883545989284
categorical__DeviceInfo_GT-I9500,50.76436871556906,50.76436871556906
categorical__id_33_1600x1000,-50.468696218994715,50.468696218994715
categorical__DeviceInfo_Linux i686,-50.46015768560069,50.46015768560069
categorical__DeviceInfo_STV100-2 Build/MMB29M,-50.380271160014985,50.380271160014985
categorical__id_30_Mac OS X 10.13,50.200902587379026,50.200902587379026
categorical__DeviceInfo_SM-G530H Build/LRX22G,49.8788988301706,49.8788988301706
categorical__DeviceInfo_LG-H810/H81021z,49.83095121297744,49.83095121297744
categorical__DeviceInfo_SM-G550T1 Build/MMB29K,49.69307139259377,49.69307139259377
categorical__DeviceInfo_SAMSUNG SM-G892A Build/NRD90M,-49.38746258472163,49.38746258472163
categorical__DeviceInfo_SAMSUNG SM-G930T Build/NRD90M,49.19368488320219,49.19368488320219
categorical__DeviceInfo_SM-G935V,-49.13943533162264,49.13943533162264
numeric__V57,-48.99961060414986,48.99961060414986
categorical__DeviceInfo_SM-A510M Build/LMY47X,48.67078956517306,48.67078956517306
