Feature,Importance
numeric__V175,0.002613716140724365
numeric__V187,0.0025921446854697927
numeric__V225,0.0025735594927764316
numeric__V134,0.002554466829703317
numeric__V47,0.0025434788287853737
numeric__V178,0.002542987258673018
numeric__D14,0.0025406602946813723
numeric__V124,0.002477935657011741
numeric__C9,0.0024625891738340707
numeric__V263,0.0024331232014074694
numeric__V17,0.0024228082081304775
numeric__V101,0.0023864097718186484
numeric__V52,0.002366458174591548
numeric__V207,0.0023545950004757055
numeric__V113,0.0023533526265532858
numeric__V54,0.0023504202323556354
numeric__V285,0.0023451487940451066
numeric__V314,0.0023309549867918697
numeric__V230,0.0023024192534195323
numeric__V127,0.0022776909409812397
numeric__V304,0.0022152672834102553
numeric__id_22,0.002200812977898879
numeric__D5,0.002180200666655995
numeric__V233,0.0021654747107093136
numeric__V272,0.0021501983351479227
numeric__V170,0.002150182724630422
numeric__V203,0.0021301749852151654
numeric__V292,0.0021148911456864033
numeric__id_13,0.002085202910537752
numeric__V81,0.0020722934498546776
numeric__V216,0.0020651680694741886
numeric__V204,0.002062873965991631
numeric__V74,0.0020527479686353834
numeric__V270,0.0020523707441137363
numeric__V73,0.002031829536557553
numeric__id_25,0.0020033008012034243
numeric__V94,0.0019841441814458707
numeric__V248,0.001951365894654157
numeric__V193,0.0019419189881671594
numeric__V40,0.0019381507979216858
numeric__V223,0.0019248614653681296
numeric__dist2,0.0019245203703801342
numeric__V72,0.001902336245447403
numeric__V171,0.0018710536599978733
numeric__V279,0.001862352688060437
numeric__V221,0.0018621864515811694
numeric__V310,0.0018609188664633946
numeric__V112,0.0018608332175995693
numeric__V281,0.0018595435048009896
numeric__V76,0.0018550116644422982
numeric__V168,0.0018491671668819597
numeric__V192,0.0018376162297731623
numeric__V238,0.0018158045919988688
numeric__V217,0.001808344176442979
numeric__V13,0.0017706770163550991
numeric__V210,0.0017681126494285358
categorical__DeviceType_mobile,0.0017668428780266254
numeric__id_04,0.0017577179812891175
numeric__V43,0.0017362213003764102
numeric__V78,0.0017158669139120905
numeric__V218,0.0017141713909000482
numeric__V97,0.0017125638745995148
categorical__M5_T,0.0016994603091661565
numeric__V289,0.001690455806335919
numeric__V154,0.0016758364149563215
numeric__V95,0.0016726976384671551
numeric__V296,0.00166110274919445
numeric__V302,0.0016472282777045164
numeric__V202,0.0016341785193793013
numeric__V215,0.001627689186420199
numeric__id_21,0.0016076746005189626
numeric__V59,0.0016069691091403155
numeric__V211,0.0015800358886954755
numeric__V37,0.00157705000278276
numeric__V130,0.0015768611162953242
numeric__V20,0.0015676573497625918
numeric__V316,0.0015574885299927447
numeric__V77,0.0015404644269503137
numeric__V131,0.0015390406032600864
numeric__V222,0.001534445373151961
numeric__V26,0.001517498034637178
numeric__V75,0.0015096549239471916
numeric__V15,0.0014900709885982662
categorical__card4_mastercard,0.0014773745762212906
numeric__V277,0.001464515496428067
categorical__P_emaildomain_gmail.com,0.0014639146775195539
numeric__V298,0.0014510427355708922
numeric__V66,0.0014455418034249401
numeric__V111,0.0014379369272484684
numeric__V284,0.001436217181512141
numeric__V32,0.0014260839317612726
numeric__V67,0.0014243214754619347
numeric__V167,0.0014115382229281147
numeric__V96,0.0013935370897553362
numeric__V228,0.0013890029359053546
numeric__V58,0.001371659373302484
numeric__V60,0.0013459903561103337
numeric__V287,0.0013452877146401811
numeric__V266,0.001334254866779973
numeric__V79,0.0013299052991937663
numeric__V278,0.0013278146402826265
numeric__D6,0.001320870741448028
numeric__V63,0.0013077602684125412
numeric__id_09,0.0012933012624879497
numeric__V146,0.001292965973800303
categorical__card4_visa,0.0012804757119867568
numeric__V191,0.0012793651607680401
numeric__V164,0.001274142411046572
numeric__V16,0.0012606206911249017
numeric__V157,0.0012531784845340515
categorical__P_emaildomain_outlook.com,0.0012404850896632702
numeric__V106,0.0012200738437439468
numeric__V271,0.0012195012721100647
numeric__V320,0.0012149784282307393
categorical__id_31_mobile safari 11.0,0.00121276734781205
numeric__V61,0.001200907697559022
numeric__V158,0.0011964057580777616
numeric__V249,0.0011947908162267843
numeric__V25,0.0011916041992407226
numeric__C5,0.0011668925304533608
numeric__id_14,0.0011378684534898873
categorical__P_emaildomain_hotmail.com,0.001129555791990156
numeric__V185,0.0011194034038133956
numeric__V50,0.0011175164250188322
numeric__V108,0.001117222128918789
numeric__dist1,0.0010842196910832457
numeric__V19,0.0010828347408222598
numeric__V71,0.001074590378401659
numeric__id_08,0.001059102605798421
numeric__V209,0.0010582534757413763
numeric__V83,0.0010559400329951658
numeric__V299,0.0010549563729019785
numeric__V39,0.0010423265369176675
numeric__V276,0.0010415265608220909
numeric__V165,0.0010378114896282555
numeric__V159,0.001028818709884389
numeric__V36,0.0010268689855681037
numeric__V199,0.0010010018090163791
numeric__V288,0.0010004868795244323
